Display Order	Short Name	SDSS ID	RA	DEC 	Cross identifications
44	NGC 5753/5	588017604696408195	14:45:18.9	+38:48:20.6	UGC 9507, 14451887+3848206 
45	Arp 173	588017702948962343	14:51:29.3	+09:20:05.4	UGC 9561, 14512928+0920058 
46	Arp 84	588017978901528612	13:58:37.9	+37:25:28.9	NGC 5395, UGC 8900, 13583793+3725284 
47	UGC 10650	588018055130710322	17:00:06.8	+23:07:53.6	17000690+2307533 
48	Arp 112	758874299603222717	00:01:26.7	+31:26:00.2	00012677+3126016 
55	Arp 274	587736523764334706	14:35:08.7	+05:21:31.7	NGC 5679, UGC 9383, 14350876+0521324 
56	Arp 146	587747120521216156	00:06:44.7	-06:38:13.0	00064479-0638136 
57	Arp 143	588007005230530750	07:46:52.9	+39:01:55.6	NGC 2444, UGC 4016, 07465304+3901549 
58	Arp 70	758877153600208945	01:23:28.3	+30:47:04.0	UGC 934, 01232834+3047042 
59	Arp 218	587739720308818095	15:53:36.8	+18:36:34.6	UGC 10084, 15533695+1836349 
61	Violin Clef	1237678620102623480	01:03:51.4	+03:23:01.8	 
49	Arp 148	588017948272099698*	11:03:54.2	+40:50:57.7	11035389+4050598
50	CGCG 436-030	587724232641937677*	1:20:02.8	+14:21:43.4	01200265+1421417
51	Arp 272	587739720846934449*	16:05:23.4	+17:45:25.9	 NGC 6050, UGC 10186, 16052336+1745258
52	ESO 77-14	*	23:21:04.6	-69:12:47.4	23210539-6912472
53	NGC 5331	587726015081218088*	13:52:16.2	+2:06:01.2	NGC 5331, UGC 8774, 13521641+0206305
54	NGC 6786	*	19:10:53.9	+73:24:37.0	NGC 6786, UGC 11415, 19105392+7324362
60	Arp 273	*	2:21:28.6	+39:22:31.0	UGC 1810, 02212870+3922326
62	Arp 244	*	12:01:53.0	-18:52:00.8	NGC 4038
